time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12
0.0,1.0,1.0,0.19077646219099564,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
1.0,1.0,2.0,0.17307284562228684,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
2.0,1.0,3.0,0.1597725713629384,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
3.0,1.0,4.0,0.14649658038940946,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
4.0,1.0,5.0,0.1356330346696911,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
5.0,1.0,6.0,0.1278927127837493,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
6.0,1.0,7.0,0.11758572486827543,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
7.0,1.0,8.0,0.10540411346923877,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
8.0,1.0,9.0,0.09426026690239532,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
9.0,1.0,10.0,0.08489358674671471,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
10.0,1.0,11.0,0.0778648923228908,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
11.0,1.0,12.0,0.07147026885569026,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
12.0,1.0,13.0,0.06622344389448419,0.2158248130740625,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
13.0,1.0,14.0,0.06169647895765548,0.21131980468220066,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
14.0,1.0,15.0,0.05892443558028375,0.2079472782752399,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
15.0,1.0,16.0,0.05513578240135051,0.2024338356850305,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
16.0,1.0,17.0,0.05178051139680095,0.19636035180231398,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
17.0,1.0,18.0,0.05029616925944888,0.1931010870872897,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
18.0,1.0,19.0,0.05,0.18763307865344353,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
19.0,1.0,20.0,0.05,0.18222260565397738,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
20.0,1.0,21.0,0.05,0.1764455974028153,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
21.0,1.0,22.0,0.05,0.17004740273865585,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
22.0,1.0,23.0,0.05,0.16375686706059567,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
23.0,1.0,24.0,0.05,0.1586093971371165,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
24.0,1.0,25.0,0.14160000000000003,0.1586093971371165,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
25.0,1.0,26.0,0.16580000000000006,0.1586093971371165,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
26.0,1.0,27.0,0.15177237219853154,0.1586093971371165,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
27.0,1.0,28.0,0.33676898259570165,0.1586093971371165,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
28.0,1.0,29.0,0.21110350459924582,0.22349379956150625,0.22207294470285444,0.2213988510266803,0.22104406505092197,0.22082791260754842,0.22068330453504123,0.2205801487182371,0.220503052588499,0.2204433602868987,0.22039584466360873,0.22029729186620586
29.0,1.0,30.0,0.2231035045992458,0.22031585845109167,0.22018874514092568,0.22016923011826298,0.22015786166467263,0.2201441966724106,0.22013170912677738,0.2201208932869098,0.22011161825736097,0.220103643101684,0.22009673950602685,0.220081442590956
30.0,1.0,31.0,0.2575788596077132,0.22028112480418627,0.22014349600423663,0.22009744912579435,0.2200749952634251,0.22006171678576994,0.2200528462332425,0.22004645229838682,0.22004159791874403,0.22003777080563525,0.22003466600547247,0.22002812538588562
31.0,1.0,32.0,0.20410777278775216,0.22266018516604036,0.22148366691363552,0.22098417697318676,0.22072973559876516,0.2205769269888713,0.22047548882273055,0.22040346737354838,0.22034980294774748,0.22030833696225463,0.22027537545015166,0.22020715979818314
32.0,1.0,33.0,0.21260777278775214,0.22024150403440285,0.22013548779825007,0.22012625624997662,0.2201163283836987,0.2201054749259025,0.22009586198285305,0.2200876736712834,0.22008072651733493,0.2200747979412811,0.2200696949794256,0.22005843973292644
33.0,1.0,34.0,0.22520777278775217,0.2200221903138735,0.22001245565890962,0.22001160751378435,0.220011567035014,0.2200113750570849,0.22001106728123104,0.22001071292887472,0.22001034806590514,0.22000999026319212,0.2200096476351152,0.22000882479840078
34.0,1.0,35.0,0.39680000000000004,0.41,0.27502314001381595,0.22013836132085857,0.2201008147871179,0.22007895766684843,0.22006471729921015,0.22005473105209244,0.22004735482947893,0.22004169181119687,0.22003721215414684,0.22002799701314488
